timestamp,elapsed_ms,acc_x,acc_y,acc_z,acc_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude
1756078094108,6934,-4.255693,-13.079524,8.892065,16.378452,-3.198720,1.595099,-0.206395,3.580328
1756078094119,6945,-4.255693,-13.079524,8.892065,16.378452,-1.430915,-0.535828,-0.100401,1.531245
1756078094167,6993,-3.245939,-6.918644,-1.155801,7.729142,-1.430915,-0.535828,-0.100401,1.531245
1756078094175,7001,-3.245939,-6.918644,-1.155801,7.729142,0.966061,-0.437823,0.404134,1.135028
1756078094286,7112,-3.245939,-6.918644,-1.155801,7.729142,-1.018259,0.920255,-0.239418,1.393212
1756078094298,7124,-4.811148,-9.646238,1.884835,10.943019,-1.018259,0.920255,-0.239418,1.393212
1756078094344,7170,-5.409100,-10.116100,5.233725,12.608954,-1.018259,0.920255,-0.239418,1.393212
1756078094353,7179,-5.409100,-10.116100,5.233725,12.608954,0.408395,0.455267,0.175369,0.636246
1756078094400,7226,-2.983774,-7.340622,0.414197,7.934684,0.408395,0.455267,0.175369,0.636246
1756078094403,7229,-2.983774,-7.340622,0.414197,7.934684,0.233426,-0.160056,0.054462,0.288221
1756078094460,7286,-2.983774,-7.340622,0.414197,7.934684,-0.294812,0.003329,0.031558,0.296515
1756078094463,7289,-2.826954,-8.271967,1.879448,8.941444,-0.294812,0.003329,0.031558,0.296515
1756078094521,7347,-3.940258,-8.821436,1.853711,9.837663,-0.294812,0.003329,0.031558,0.296515
1756078094524,7350,-3.940258,-8.821436,1.853711,9.837663,-0.035420,-0.270976,0.008922,0.273427
1756078094601,7427,-3.014300,-9.609129,2.507328,10.378249,-0.035420,-0.270976,0.008922,0.273427
1756078094604,7430,-3.014300,-9.609129,2.507328,10.378249,-0.338754,0.045274,-0.008389,0.341869
1756078094661,7487,-4.666299,-9.167398,2.984372,10.710836,-0.338754,0.045274,-0.008389,0.341869
1756078094664,7490,-4.666299,-9.167398,2.984372,10.710836,0.241815,0.292282,-0.012117,0.379539
1756078094721,7547,-5.786786,-9.005790,1.041478,10.755269,0.241815,0.292282,-0.012117,0.379539
1756078094724,7550,-5.786786,-9.005790,1.041478,10.755269,0.402270,0.014381,0.044475,0.404977
1756078094782,7608,-4.047997,-10.548853,5.399523,12.522757,0.402270,0.014381,0.044475,0.404977
1756078094785,7611,-4.047997,-10.548853,5.399523,12.522757,0.779107,-1.214267,0.295344,1.472644
1756078094841,7667,-5.382764,-14.668077,5.066131,16.425356,0.779107,-1.214267,0.295344,1.472644
1756078094844,7670,-5.382764,-14.668077,5.066131,16.425356,2.364086,-1.979127,0.065514,3.083851
1756078094900,7726,-5.382764,-14.668077,5.066131,16.425356,4.073169,-3.353050,0.389221,5.290099
1756078094903,7729,-2.859275,-12.131420,11.876437,17.216171,4.073169,-3.353050,0.389221,5.290099
1756078094967,7793,-2.646191,-9.691729,1.903989,10.225317,4.073169,-3.353050,0.389221,5.290099
1756078094979,7805,-2.646191,-9.691729,1.903989,10.225317,4.100599,-1.579786,0.008788,4.394396
1756078095053,7879,-1.936311,-4.232350,7.123947,8.509565,4.100599,-1.579786,0.008788,4.394396
1756078095064,7890,-1.936311,-4.232350,7.123947,8.509565,2.966759,-1.412939,1.011202,3.438108
1756078095108,7934,3.058593,-0.818218,2.103905,3.801432,2.966759,-1.412939,1.011202,3.438108
1756078095121,7947,3.058593,-0.818218,2.103905,3.801432,2.004693,-0.917991,0.742222,2.326456
1756078095169,7995,3.058593,-0.818218,2.103905,3.801432,-0.077897,0.423176,-0.025167,0.431021
1756078095180,8006,2.147000,-0.139462,-0.987010,2.367118,-0.077897,0.423176,-0.025167,0.431021
1756078095288,8114,1.035492,-1.091756,3.924097,4.202703,-0.077897,0.423176,-0.025167,0.431021
1756078095301,8127,1.035492,-1.091756,3.924097,4.202703,-1.904026,1.449558,-0.575908,2.461341
1756078095347,8173,-1.162385,-3.544017,5.877765,6.961273,-1.904026,1.449558,-0.575908,2.461341
1756078095358,8184,-1.162385,-3.544017,5.877765,6.961273,-2.532798,1.971137,-0.936367,3.343236
1756078095411,8237,-3.084929,-7.864953,6.400898,10.599328,-2.532798,1.971137,-0.936367,3.343236
1756078095422,8248,-3.084929,-7.864953,6.400898,10.599328,-3.271691,1.878326,-0.880041,3.873828
1756078095474,8300,-6.180033,-10.770316,7.311892,14.410284,-3.271691,1.878326,-0.880041,3.873828
1756078095485,8311,-6.180033,-10.770316,7.311892,14.410284,-3.462773,1.835582,-0.582433,3.962245
1756078095523,8349,-3.907337,-13.196241,6.639720,15.280509,-3.462773,1.835582,-0.582433,3.962245
1756078095526,8352,-3.907337,-13.196241,6.639720,15.280509,-2.714691,1.649428,-0.368981,3.197860
1756078095603,8429,-3.907337,-13.196241,6.639720,15.280509,-1.442234,0.254731,-0.107192,1.468474
1756078095606,8432,-4.037821,-11.382633,6.820482,13.870376,-1.442234,0.254731,-0.107192,1.468474
1756078095664,8490,-4.772841,-8.050503,0.600945,9.378259,-1.442234,0.254731,-0.107192,1.468474
1756078095667,8493,-4.772841,-8.050503,0.600945,9.378259,0.481765,0.163385,-0.334759,0.608980
1756078095726,8552,-5.476737,-9.416395,4.156933,11.659470,0.481765,0.163385,-0.334759,0.608980
1756078095729,8555,-5.476737,-9.416395,4.156933,11.659470,-0.510528,0.735831,0.185888,0.914680
1756078095784,8610,-5.476737,-9.416395,4.156933,11.659470,0.277901,-0.317182,0.106793,0.435015
1756078095788,8614,-4.894945,-9.616311,3.584120,11.370130,0.277901,-0.317182,0.106793,0.435015
